Description,Avg PF,Current (B),Current (N),Current (R),Current (Y),V B-R,V R-Y,V Y-B,kVA,kVAh,kW (Total),kWh,Date
23:53,0.89,8.02,4.15,6.47,6.75,381.88,384.91,379.47,4696,89795.64,4.08,82280.61,Wed Aug 23 2023
23:38,0.89,6.26,3.31,5.51,6.76,382.05,385.33,379.64,4086,89794.59,3.54,82279.68,Wed Aug 23 2023
23:23,0.89,6.1,3.02,8.87,8.23,381.55,383.92,379.34,5095,89793.47,4.35,82278.71,Wed Aug 23 2023
23:08,0.94,10.39,5.72,9.29,9.32,376.62,379.39,374.09,6102,89792.21,5.57,82277.57,Wed Aug 23 2023
22:53,0.94,10.44,6.51,10.87,7.05,377.53,380.13,375.35,6211.5,89790.67,5.7,82276.11,Wed Aug 23 2023
22:38,0.93,10.31,5.47,10.22,8.21,373.55,376.95,370.92,6223,89789.11,5.66,82274.68,Wed Aug 23 2023
22:23,0.94,10.38,6.18,9.88,8.2,373.85,376.47,371.35,6171.5,89787.61,5.64,82273.24,Wed Aug 23 2023
22:08,0.96,8.78,6.75,11.31,6.43,382.69,384.86,381.05,5861,89786.12,5.49,82271.87,Wed Aug 23 2023
21:53,0.95,8.76,5.98,8.78,5.79,384.16,387.11,381.43,5104,89784.85,5,82270.62,Wed Aug 23 2023
21:38,0.94,8.76,6.31,5.24,6.33,383.86,386.83,381.39,4417,89783.61,4.12,82269.44,Wed Aug 23 2023
21:23,0.95,12.16,9.72,15.53,8.2,376.57,378.83,374.87,7898.5,89782.06,7.28,82267.97,Wed Aug 23 2023
21:08,0.92,10.46,5.68,8.71,7.14,378.23,381.45,375.54,5742,89780.38,5.24,82266.39,Wed Aug 23 2023
20:53,0.96,9.48,7.17,5.19,4.86,382.09,385.4,379.41,4315,89779.13,4.05,82265.21,Wed Aug 23 2023
20:38,0.98,9.47,6.8,3.99,6.1,380.77,383.59,377.98,4317,89777.88,4.18,82263.99,Wed Aug 23 2023
20:23,0.93,10.35,6.07,8.52,8.22,378,381.52,375.28,5921.5,89776.52,5.36,82262.73,Wed Aug 23 2023
20:08,0.92,10.65,5.34,8.85,8.13,379.42,377.26,378.57,6047.5,89775.19,5.46,82261.51,Wed Aug 23 2023
19:53,0.91,10.47,7.22,7.9,10.39,372.45,371.45,372.44,5723,89773.79,5.21,82260.2,Wed Aug 23 2023
19:38,0.93,10.61,5.1,9.22,8.14,375.28,373.46,374.76,5957,89772.37,5.43,82258.9,Wed Aug 23 2023
19:23,0,0,5.25,0,0,370.69,369.7,369.96,0,89771.03,0,82257.67,Wed Aug 23 2023
19:08,0.92,10.4,7.58,5.3,8.26,371.26,374.6,367.84,5177.5,89769.66,4.66,82256.39,Wed Aug 23 2023
18:54,0,10.67,6.45,6.57,7.14,373.22,375.9,370.49,5277,89768.26,4.81,82255.13,Wed Aug 23 2023
18:38,0.93,6.26,9.51,15.23,7.18,377.17,379.35,374.5,5869.5,89766.75,5.5,82253.73,Wed Aug 23 2023
18:23,0.93,6.21,9.23,15.18,7.44,373.27,375.37,370.78,6220.5,89765.23,5.61,82252.31,Wed Aug 23 2023
18:08,0.92,4.39,4.56,8.48,8.92,387.15,390.13,383.9,4017.5,89763.99,3.51,82251.16,Wed Aug 23 2023
17:53,0.96,4.67,5.35,7.31,2.29,391.43,393.74,388.33,3233,89763.13,3.04,82250.35,Wed Aug 23 2023
17:38,0.97,4.66,6.9,11.88,5.08,385.43,387.26,382.45,4820.5,89762.12,4.5,82249.42,Wed Aug 23 2023
17:23,0.96,6.93,6.8,11.76,6.3,387.19,389.31,384.38,5575.5,89760.44,5.15,82247.84,Wed Aug 23 2023
17:08,0.85,6.13,1.08,7.25,8.31,383.36,386.75,380.36,4805.5,89759.07,4,82246.6,Wed Aug 23 2023
16:53,0.88,6.14,1.44,7.21,9.21,377.15,379.98,373.58,4790,89757.95,4.05,82245.64,Wed Aug 23 2023
16:38,0.89,8.61,3.27,8.46,7.03,377.52,380.34,374.39,5285,89756.69,4.66,82244.51,Wed Aug 23 2023
