Date,Average kW (Total)
2023-08-23,4.691458333333333
2023-08-24,4.669583333333333
2023-08-25,4.814210526315789
2023-08-26,5.294065934065934
2023-08-27,5.119052631578947
2023-08-28,4.893225806451613
2023-08-29,4.458777777777778
2023-08-30,5.074090909090909
2023-08-31,4.377582417582418
2023-09-01,5.008260869565217
2023-09-02,4.943369565217392
2023-09-03,4.487966101694916
2023-09-04,5.13546511627907
2023-09-05,4.753333333333334
2023-09-06,4.720444444444444
2023-09-07,4.8554545454545455
2023-09-08,4.973406593406593
2023-09-09,4.74621052631579
2023-09-10,4.591777777777778
2023-09-11,4.919787234042553
2023-09-12,4.884318181818181
2023-09-13,5.075578947368421
2023-09-14,4.646413043478261
2023-09-15,4.86936170212766
2023-09-16,4.381521739130434
2023-09-17,4.6419565217391305
2023-09-18,4.238631578947369
2023-09-19,4.665051546391752
2023-09-20,4.876
2023-09-21,5.014947368421053
2023-09-22,4.730315789473684
2023-09-23,4.586702127659574
2023-09-24,4.982577319587629
2023-09-25,4.932234042553191
2023-09-26,4.53968085106383
2023-09-27,4.953894736842106
2023-09-28,4.897234042553191
2023-09-29,5.019340659340659
2023-09-30,4.804842105263158
2023-10-01,5.047340425531915
2023-10-02,4.646373626373626
2023-10-03,4.8177528089887645
2023-10-04,5.047789473684211
2023-10-05,4.952446808510639
2023-10-06,4.760851063829787
2023-10-07,4.915294117647059
2023-10-08,5.210347826086957
2023-10-09,5.09340206185567
2023-10-10,4.771827956989247
2023-10-11,4.821827956989248
2023-10-12,4.931190476190476
2023-10-13,5.424716981132075
2023-10-14,4.940104166666667
2023-10-15,5.481489361702128
2023-10-16,5.496105263157895
2023-10-17,4.99095744680851
2023-10-18,5.173440860215054
2023-10-19,5.247978723404255
2023-10-20,4.694945054945055
2023-10-21,4.975376344086022
2023-10-22,4.9624719101123596
2023-10-23,3.9626373626373628
2023-10-24,4.494105263157895
2023-10-25,4.567717391304348
2023-10-26,4.450106382978723
2023-10-27,4.073695652173913
2023-10-28,4.169255319148936
2023-10-29,4.433068181818182
2023-10-30,4.691368421052632
2023-10-31,4.204086021505376
2023-11-01,4.316421052631579
2023-11-02,4.214285714285714
2023-11-03,4.371808510638298
